Simulation time (in s),avgServedBlocksDl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by Enb in downlink with total reource blocks=50.,Simulation time (in sec),avgServedBlocksDl-SingleCell_withSecondaryGnb-secondarygnb #comment:- Number of resource block (values in blocks) by gnb in downlink with total reource blocks=50.
95.48,2,95.48,1
95.481,0,95.481,1
95.482,0,95.482,0
95.483,0,95.483,0
95.484,0,95.484,0
95.485,0,95.485,0
95.486,0,95.486,0
95.487,0,95.487,0
95.488,0,95.488,0
95.489,0,95.489,0
95.49,0,95.49,0
95.491,1,95.491,0
95.492,0,95.492,3
95.493,2,95.493,2
95.494,2,95.494,2
95.495,1,95.495,1
95.496,1,95.496,1
95.497,1,95.497,0
95.498,0,95.498,0
95.499,1,95.499,1
95.5,2,95.5,0
95.501,0,95.501,0
95.502,0,95.502,0
95.503,0,95.503,0
95.504,0,95.504,0
95.505,0,95.505,0
95.506,0,95.506,0
95.507,0,95.507,0
95.508,0,95.508,0
95.509,0,95.509,0
95.51,0,95.51,0
95.511,1,95.511,0
95.512,0,95.512,3
95.513,1,95.513,2
95.514,2,95.514,2
95.515,1,95.515,1
95.516,1,95.516,1
95.517,1,95.517,0
95.518,0,95.518,0
95.519,1,95.519,1
95.52,2,95.52,0
95.521,0,95.521,0
95.522,0,95.522,0
95.523,0,95.523,0
95.524,0,95.524,0
95.525,0,95.525,0
95.526,0,95.526,0
95.527,0,95.527,0
95.528,0,95.528,0
95.529,0,95.529,0
95.53,0,95.53,0
95.531,1,95.531,0
95.532,0,95.532,3
95.533,2,95.533,2
95.534,2,95.534,2
95.535,1,95.535,1
95.536,1,95.536,1
95.537,1,95.537,0
95.538,0,95.538,0
95.539,1,95.539,1
95.54,3,95.54,1
95.541,0,95.541,0
95.542,0,95.542,0
95.543,0,95.543,0
95.544,0,95.544,0
95.545,0,95.545,0
95.546,1,95.546,0
95.547,0,95.547,0
95.548,0,95.548,0
95.549,0,95.549,0
95.55,0,95.55,0
95.551,1,95.551,0
95.552,0,95.552,3
95.553,2,95.553,2
95.554,2,95.554,2
95.555,1,95.555,1
95.556,1,95.556,1
95.557,1,95.557,0
95.558,0,95.558,0
95.559,1,95.559,1
95.56,2,95.56,0
95.561,0,95.561,0
95.562,0,95.562,0
95.563,0,95.563,0
95.564,0,95.564,0
95.565,0,95.565,0
95.566,1,95.566,0
95.567,0,95.567,0
95.568,0,95.568,0
95.569,0,95.569,0
95.57,0,95.57,0
95.571,1,95.571,0
95.572,0,95.572,3
95.573,2,95.573,2
95.574,2,95.574,2
95.575,1,95.575,1
95.576,1,95.576,1
95.577,1,95.577,0
95.578,0,95.578,0
95.579,1,95.579,1
95.58,2,95.58,0
95.581,0,95.581,1
95.582,0,95.582,0
95.583,0,95.583,0
95.584,0,95.584,0
95.585,0,95.585,0
95.586,0,95.586,0
95.587,0,95.587,0
95.588,0,95.588,0
95.589,0,95.589,0
95.59,0,95.59,0
95.591,1,95.591,0
95.592,0,95.592,3
95.593,2,95.593,2
95.594,2,95.594,2
95.595,1,95.595,1
95.596,1,95.596,1
95.597,1,95.597,0
95.598,0,95.598,0
95.599,1,95.599,1
95.6,3,95.6,1
95.601,0,95.601,0
95.602,0,95.602,0
95.603,0,95.603,0
95.604,0,95.604,0
95.605,0,95.605,0
95.606,0,95.606,0
95.607,0,95.607,0
95.608,0,95.608,0
95.609,0,95.609,0
95.61,0,95.61,0
95.611,1,95.611,0
95.612,0,95.612,3
95.613,1,95.613,2
95.614,2,95.614,2
95.615,1,95.615,1
95.616,1,95.616,1
95.617,1,95.617,0
95.618,0,95.618,0
95.619,1,95.619,1
95.62,2,95.62,1
95.621,0,95.621,1
95.622,0,95.622,0
95.623,0,95.623,0
95.624,0,95.624,0
95.625,0,95.625,0
95.626,0,95.626,0
95.627,0,95.627,0
95.628,0,95.628,0
95.629,0,95.629,0
95.63,0,95.63,0
95.631,1,95.631,0
95.632,0,95.632,3
95.633,1,95.633,2
95.634,2,95.634,2
95.635,1,95.635,1
95.636,1,95.636,1
95.637,1,95.637,0
95.638,0,95.638,0
95.639,1,95.639,1
95.64,2,95.64,0
95.641,0,95.641,0
95.642,0,95.642,0
95.643,0,95.643,0
95.644,0,95.644,0
95.645,0,95.645,0
95.646,0,95.646,0
95.647,0,95.647,0
95.648,0,95.648,0
95.649,0,95.649,0
95.65,0,95.65,0
95.651,1,95.651,0
95.652,0,95.652,3
95.653,1,95.653,2
95.654,2,95.654,2
95.655,1,95.655,1
95.656,1,95.656,1
95.657,1,95.657,0
95.658,0,95.658,0
95.659,1,95.659,1
95.66,2,95.66,1
95.661,0,95.661,0
95.662,0,95.662,0
95.663,0,95.663,0
95.664,0,95.664,0
95.665,0,95.665,0
95.666,0,95.666,0
95.667,0,95.667,0
95.668,0,95.668,0
95.669,0,95.669,0
95.67,0,95.67,0
95.671,1,95.671,0
95.672,0,95.672,3
95.673,1,95.673,2
95.674,2,95.674,2
95.675,1,95.675,1
95.676,1,95.676,1
95.677,1,95.677,0
95.678,0,95.678,0
95.679,1,95.679,1
95.68,2,95.68,1
95.681,0,95.681,0
95.682,0,95.682,0
95.683,0,95.683,0
95.684,0,95.684,0
95.685,0,95.685,0
95.686,0,95.686,0
95.687,0,95.687,0
95.688,0,95.688,0
95.689,0,95.689,0
95.69,0,95.69,0
95.691,1,95.691,0
95.692,0,95.692,3
95.693,1,95.693,2
95.694,2,95.694,2
95.695,1,95.695,1
95.696,1,95.696,1
95.697,1,95.697,0
95.698,0,95.698,0
95.699,1,95.699,1
95.7,3,95.7,1
95.701,0,95.701,1
95.702,0,95.702,0
95.703,0,95.703,0
95.704,0,95.704,0
95.705,0,95.705,0
95.706,0,95.706,0
95.707,0,95.707,0
95.708,0,95.708,0
95.709,0,95.709,0
95.71,0,95.71,0
95.711,1,95.711,0
95.712,0,95.712,3
95.713,1,95.713,2
95.714,2,95.714,2
95.715,1,95.715,1
95.716,1,95.716,1
95.717,1,95.717,0
95.718,0,95.718,0
95.719,1,95.719,1
95.72,3,95.72,0
95.721,0,95.721,0
95.722,0,95.722,0
95.723,0,95.723,0
95.724,0,95.724,0
95.725,0,95.725,0
95.726,0,95.726,0
95.727,0,95.727,0
95.728,0,95.728,0
95.729,0,95.729,0
95.73,0,95.73,0
95.731,1,95.731,0
95.732,0,95.732,3
95.733,1,95.733,2
95.734,2,95.734,2
95.735,1,95.735,1
95.736,1,95.736,1
95.737,1,95.737,0
95.738,0,95.738,0
95.739,1,95.739,1
95.74,3,95.74,0
95.741,0,95.741,0
95.742,0,95.742,0
95.743,0,95.743,0
95.744,0,95.744,0
95.745,0,95.745,0
95.746,0,95.746,0
95.747,0,95.747,0
95.748,0,95.748,0
95.749,0,95.749,0
95.75,0,95.75,0
95.751,1,95.751,0
95.752,0,95.752,3
95.753,1,95.753,2
95.754,2,95.754,2
95.755,1,95.755,1
95.756,1,95.756,1
95.757,1,95.757,0
95.758,0,95.758,0
95.759,1,95.759,1
95.76,3,95.76,1
95.761,0,95.761,0
95.762,0,95.762,0
95.763,0,95.763,0
95.764,0,95.764,0
95.765,0,95.765,0
95.766,2,95.766,0
95.767,0,95.767,0
95.768,0,95.768,0
95.769,0,95.769,0
95.77,0,95.77,0
95.771,1,95.771,0
95.772,0,95.772,3
95.773,1,95.773,2
95.774,2,95.774,2
95.775,1,95.775,1
95.776,1,95.776,1
95.777,1,95.777,0
95.778,0,95.778,0
95.779,1,95.779,1
95.78,2,95.78,1
95.781,0,95.781,1
95.782,0,95.782,0
95.783,0,95.783,0
95.784,0,95.784,0
95.785,0,95.785,0
95.786,0,95.786,0
95.787,0,95.787,0
95.788,0,95.788,0
95.789,0,95.789,0
95.79,0,95.79,0
95.791,1,95.791,0
95.792,0,95.792,3
95.793,1,95.793,2
95.794,2,95.794,2
95.795,1,95.795,1
95.796,1,95.796,1
95.797,1,95.797,0
95.798,0,95.798,0
95.799,1,95.799,1
95.8,3,95.8,1
95.801,0,95.801,0
95.802,0,95.802,0
95.803,0,95.803,0
95.804,0,95.804,0
95.805,0,95.805,0
95.806,1,95.806,1
95.807,0,95.807,0
95.808,0,95.808,0
95.809,0,95.809,0
95.81,0,95.81,0
95.811,1,95.811,0
95.812,0,95.812,3
95.813,1,95.813,2
95.814,2,95.814,2
95.815,1,95.815,1
95.816,1,95.816,1
95.817,3,95.817,0
95.818,0,95.818,0
95.819,1,95.819,1
95.82,3,95.82,0
95.821,0,95.821,0
95.822,0,95.822,0
95.823,0,95.823,0
95.824,0,95.824,0
95.825,0,95.825,0
95.826,0,95.826,0
95.827,0,95.827,0
95.828,0,95.828,0
95.829,0,95.829,0
95.83,0,95.83,0
95.831,1,95.831,0
95.832,0,95.832,3
95.833,1,95.833,2
95.834,2,95.834,2
95.835,1,95.835,1
95.836,1,95.836,1
95.837,1,95.837,0
95.838,0,95.838,0
95.839,1,95.839,1
95.84,3,95.84,0
95.841,0,95.841,0
95.842,0,95.842,0
95.843,0,95.843,0
95.844,0,95.844,0
95.845,0,95.845,0
95.846,0,95.846,0
95.847,0,95.847,0
95.848,0,95.848,0
95.849,0,95.849,0
95.85,0,95.85,0
95.851,1,95.851,0
95.852,0,95.852,3
95.853,1,95.853,2
95.854,2,95.854,2
95.855,1,95.855,1
95.856,1,95.856,1
95.857,1,95.857,0
95.858,0,95.858,0
95.859,1,95.859,1
95.86,3,95.86,0
95.861,0,95.861,0
95.862,0,95.862,0
95.863,0,95.863,0
95.864,0,95.864,0
95.865,0,95.865,0
95.866,0,95.866,0
95.867,0,95.867,0
95.868,0,95.868,0
95.869,0,95.869,0
95.87,0,95.87,0
95.871,1,95.871,0
95.872,0,95.872,3
95.873,1,95.873,2
95.874,2,95.874,2
95.875,1,95.875,1
95.876,1,95.876,1
95.877,1,95.877,0
95.878,0,95.878,0
95.879,1,95.879,1
95.88,3,95.88,0
95.881,0,95.881,1
95.882,0,95.882,0
95.883,0,95.883,0
95.884,0,95.884,0
95.885,0,95.885,0
95.886,0,95.886,0
95.887,0,95.887,0
95.888,0,95.888,0
95.889,0,95.889,0
95.89,0,95.89,0
95.891,1,95.891,0
95.892,0,95.892,3
95.893,1,95.893,2
95.894,2,95.894,2
95.895,1,95.895,1
95.896,1,95.896,1
95.897,1,95.897,0
95.898,0,95.898,0
95.899,1,95.899,1
95.9,3,95.9,0
95.901,0,95.901,0
95.902,0,95.902,0
95.903,0,95.903,0
95.904,0,95.904,0
95.905,0,95.905,0
95.906,0,95.906,0
95.907,0,95.907,0
95.908,0,95.908,0
95.909,0,95.909,0
95.91,0,95.91,0
95.911,1,95.911,0
95.912,0,95.912,3
95.913,1,95.913,2
95.914,2,95.914,2
95.915,1,95.915,1
95.916,1,95.916,1
95.917,1,95.917,0
95.918,0,95.918,0
95.919,1,95.919,1
95.92,3,95.92,0
95.921,0,95.921,0
95.922,0,95.922,0
95.923,0,95.923,0
95.924,0,95.924,0
95.925,0,95.925,0
95.926,0,95.926,0
95.927,0,95.927,0
95.928,0,95.928,0
95.929,0,95.929,0
95.93,0,95.93,0
95.931,1,95.931,0
95.932,0,95.932,3
95.933,1,95.933,2
95.934,2,95.934,2
95.935,1,95.935,1
95.936,1,95.936,1
95.937,1,95.937,0
95.938,0,95.938,0
95.939,1,95.939,1
95.94,3,95.94,1
95.941,0,95.941,0
95.942,0,95.942,0
95.943,0,95.943,0
95.944,0,95.944,0
95.945,0,95.945,0
95.946,1,95.946,0
95.947,0,95.947,0
95.948,0,95.948,0
95.949,0,95.949,0
95.95,0,95.95,0
95.951,1,95.951,0
95.952,0,95.952,3
95.953,1,95.953,2
95.954,2,95.954,2
95.955,1,95.955,1
95.956,1,95.956,1
95.957,1,95.957,0
95.958,0,95.958,0
95.959,1,95.959,1
95.96,3,95.96,0
95.961,0,95.961,0
95.962,0,95.962,0
95.963,0,95.963,0
95.964,0,95.964,0
95.965,0,95.965,0
95.966,0,95.966,0
95.967,0,95.967,0
95.968,0,95.968,0
95.969,0,95.969,0
95.97,0,95.97,0
95.971,1,95.971,0
95.972,0,95.972,3
95.973,1,95.973,2
95.974,2,95.974,2
95.975,1,95.975,1
95.976,1,95.976,1
95.977,1,95.977,0
95.978,0,95.978,0
95.979,1,95.979,1
95.98,3,95.98,0
95.981,0,95.981,1
95.982,0,95.982,0
95.983,0,95.983,0
95.984,0,95.984,0
95.985,0,95.985,0
95.986,0,95.986,0
95.987,0,95.987,0
95.988,0,95.988,0
95.989,0,95.989,0
95.99,0,95.99,0
95.991,1,95.991,0
95.992,0,95.992,3
95.993,1,95.993,2
95.994,2,95.994,2
95.995,1,95.995,1
95.996,1,95.996,1
95.997,1,95.997,0
95.998,0,95.998,0
95.999,1,95.999,1
96,2,96,1
96.001,0,96.001,0
96.002,0,96.002,0
96.003,0,96.003,0
96.004,0,96.004,0
96.005,0,96.005,0
96.006,0,96.006,0
96.007,0,96.007,0
96.008,0,96.008,0
96.009,0,96.009,0
96.01,0,96.01,0
96.011,1,96.011,0
96.012,0,96.012,3
96.013,1,96.013,2
96.014,2,96.014,2
96.015,1,96.015,1
96.016,1,96.016,1
96.017,1,96.017,0
96.018,0,96.018,0
96.019,1,96.019,1
96.02,3,96.02,0
96.021,0,96.021,0
96.022,0,96.022,0
96.023,0,96.023,0
96.024,0,96.024,0
96.025,0,96.025,0
96.026,0,96.026,0
96.027,0,96.027,0
96.028,0,96.028,0
96.029,0,96.029,0
96.03,0,96.03,0
96.031,1,96.031,0
96.032,0,96.032,3
96.033,1,96.033,2
96.034,2,96.034,2
96.035,1,96.035,1
96.036,1,96.036,1
96.037,2,96.037,0
96.038,0,96.038,0
96.039,1,96.039,1
96.04,3,96.04,0
96.041,0,96.041,0
96.042,0,96.042,0
96.043,0,96.043,0
96.044,0,96.044,0
96.045,0,96.045,0
96.046,0,96.046,0
96.047,0,96.047,0
96.048,0,96.048,0
96.049,0,96.049,0
96.05,0,96.05,0
96.051,1,96.051,0
96.052,0,96.052,3
96.053,1,96.053,2
96.054,2,96.054,2
96.055,1,96.055,1
96.056,1,96.056,1
96.057,1,96.057,0
96.058,0,96.058,0
96.059,1,96.059,1
96.06,3,96.06,0
96.061,0,96.061,0
96.062,0,96.062,0
96.063,0,96.063,0
96.064,0,96.064,0
96.065,0,96.065,0
96.066,0,96.066,0
96.067,0,96.067,0
96.068,0,96.068,0
96.069,0,96.069,0
96.07,0,96.07,0
96.071,1,96.071,0
96.072,0,96.072,3
96.073,1,96.073,2
96.074,2,96.074,2
96.075,1,96.075,1
96.076,1,96.076,1
96.077,1,96.077,0
96.078,0,96.078,0
96.079,1,96.079,1
96.08,3,96.08,1
96.081,0,96.081,0
96.082,0,96.082,0
96.083,0,96.083,0
96.084,0,96.084,0
96.085,0,96.085,0
96.086,0,96.086,0
96.087,0,96.087,0
96.088,0,96.088,0
96.089,0,96.089,0
96.09,0,96.09,0
96.091,1,96.091,0
96.092,0,96.092,3
96.093,1,96.093,2
96.094,2,96.094,2
96.095,1,96.095,1
96.096,1,96.096,1
96.097,1,96.097,0
96.098,0,96.098,0
96.099,1,96.099,1
96.1,3,96.1,0
96.101,0,96.101,1
96.102,0,96.102,0
96.103,0,96.103,0
96.104,0,96.104,0
96.105,0,96.105,0
96.106,0,96.106,0
96.107,0,96.107,0
96.108,0,96.108,0
96.109,0,96.109,0
96.11,0,96.11,0
96.111,1,96.111,0
96.112,0,96.112,3
96.113,1,96.113,2
96.114,2,96.114,2
96.115,1,96.115,1
96.116,1,96.116,1
96.117,1,96.117,0
96.118,0,96.118,0
96.119,1,96.119,1
96.12,3,96.12,0
96.121,0,96.121,0
96.122,0,96.122,0
96.123,0,96.123,0
96.124,0,96.124,0
96.125,0,96.125,0
96.126,0,96.126,0
96.127,0,96.127,0
96.128,0,96.128,0
96.129,0,96.129,0
96.13,0,96.13,0
96.131,1,96.131,0
96.132,0,96.132,3
96.133,1,96.133,2
96.134,2,96.134,2
96.135,1,96.135,1
96.136,1,96.136,1
96.137,1,96.137,0
96.138,0,96.138,0
96.139,1,96.139,1
96.14,3,96.14,0
96.141,0,96.141,1
96.142,0,96.142,0
96.143,0,96.143,0
96.144,0,96.144,0
96.145,0,96.145,0
96.146,0,96.146,0
96.147,0,96.147,0
96.148,0,96.148,0
96.149,0,96.149,0
96.15,0,96.15,0
96.151,1,96.151,0
96.152,0,96.152,3
96.153,1,96.153,2
96.154,2,96.154,2
96.155,1,96.155,1
96.156,1,96.156,1
96.157,1,96.157,0
96.158,0,96.158,0
96.159,1,96.159,1
96.16,3,96.16,1
96.161,0,96.161,0
96.162,0,96.162,0
96.163,0,96.163,0
96.164,0,96.164,0
96.165,0,96.165,0
96.166,1,96.166,0
96.167,0,96.167,0
96.168,0,96.168,0
96.169,0,96.169,0
96.17,0,96.17,0
96.171,1,96.171,0
96.172,0,96.172,3
96.173,1,96.173,2
96.174,2,96.174,2
96.175,1,96.175,1
96.176,1,96.176,1
96.177,1,96.177,0
96.178,0,96.178,0
96.179,1,96.179,1
96.18,3,96.18,0
96.181,0,96.181,0
96.182,0,96.182,0
96.183,0,96.183,0
96.184,0,96.184,0
96.185,0,96.185,0
96.186,0,96.186,0
96.187,0,96.187,0
96.188,0,96.188,0
96.189,0,96.189,0
96.19,0,96.19,0
96.191,1,96.191,0
96.192,0,96.192,3
96.193,1,96.193,2
96.194,2,96.194,2
96.195,1,96.195,1
96.196,1,96.196,1
96.197,1,96.197,0
96.198,0,96.198,0
96.199,1,96.199,1
96.2,3,96.2,1
96.201,0,96.201,1
96.202,0,96.202,0
96.203,0,96.203,0
96.204,0,96.204,0
96.205,0,96.205,0
96.206,0,96.206,0
96.207,0,96.207,0
96.208,0,96.208,0
96.209,0,96.209,0
96.21,0,96.21,0
96.211,1,96.211,0
96.212,0,96.212,3
96.213,1,96.213,2
96.214,2,96.214,2
96.215,1,96.215,1
96.216,1,96.216,1
96.217,1,96.217,0
96.218,0,96.218,0
96.219,1,96.219,1
96.22,3,96.22,1
96.221,0,96.221,0
96.222,0,96.222,0
96.223,0,96.223,0
96.224,0,96.224,0
96.225,0,96.225,0
96.226,0,96.226,0
96.227,0,96.227,0
96.228,0,96.228,0
96.229,0,96.229,0
96.23,0,96.23,0
96.231,1,96.231,0
96.232,0,96.232,3
96.233,1,96.233,2
96.234,2,96.234,2
96.235,1,96.235,1
96.236,1,96.236,1
96.237,1,96.237,0
96.238,0,96.238,0
96.239,1,96.239,1
96.24,3,96.24,0
96.241,0,96.241,0
96.242,0,96.242,0
96.243,0,96.243,0
96.244,0,96.244,0
96.245,0,96.245,0
96.246,0,96.246,0
96.247,0,96.247,0
96.248,0,96.248,0
96.249,0,96.249,0
96.25,0,96.25,0
96.251,1,96.251,0
96.252,0,96.252,3
96.253,1,96.253,2
96.254,2,96.254,2
96.255,1,96.255,1
96.256,1,96.256,1
96.257,1,96.257,0
96.258,0,96.258,0
96.259,1,96.259,1
96.26,3,96.26,1
96.261,0,96.261,0
96.262,0,96.262,0
96.263,0,96.263,0
96.264,0,96.264,0
96.265,0,96.265,0
96.266,0,96.266,1
96.267,0,96.267,0
96.268,0,96.268,0
96.269,0,96.269,0
96.27,0,96.27,0
96.271,1,96.271,0
96.272,0,96.272,3
96.273,1,96.273,2
96.274,2,96.274,2
96.275,1,96.275,1
96.276,1,96.276,1
96.277,1,96.277,0
96.278,0,96.278,0
96.279,1,96.279,1
96.28,3,96.28,0
96.281,0,96.281,1
96.282,0,96.282,0
96.283,0,96.283,0
96.284,0,96.284,0
96.285,0,96.285,0
96.286,0,96.286,0
96.287,0,96.287,0
96.288,0,96.288,0
96.289,0,96.289,0
96.29,0,96.29,0
96.291,1,96.291,0
96.292,0,96.292,3
96.293,1,96.293,2
96.294,2,96.294,2
96.295,1,96.295,1
96.296,1,96.296,1
96.297,1,96.297,0
96.298,0,96.298,0
96.299,1,96.299,1
96.3,3,96.3,0
96.301,0,96.301,0
96.302,0,96.302,0
96.303,0,96.303,0
96.304,0,96.304,0
96.305,0,96.305,0
96.306,0,96.306,0
96.307,0,96.307,0
96.308,0,96.308,0
96.309,0,96.309,0
96.31,0,96.31,0
96.311,1,96.311,0
96.312,0,96.312,3
96.313,1,96.313,2
96.314,2,96.314,2
96.315,1,96.315,1
96.316,1,96.316,1
96.317,1,96.317,0
96.318,0,96.318,0
96.319,1,96.319,1
96.32,3,96.32,1
96.321,0,96.321,0
96.322,1,96.322,1
96.323,0,96.323,0
96.324,0,96.324,0
96.325,0,96.325,0
96.326,0,96.326,0
96.327,0,96.327,0
96.328,1,96.328,1
96.329,0,96.329,0
96.33,0,96.33,0
96.331,1,96.331,0
96.332,0,96.332,3
96.333,1,96.333,2
96.334,3,96.334,3
96.335,1,96.335,1
96.336,1,96.336,1
96.337,1,96.337,0
96.338,0,96.338,0
96.339,1,96.339,1
96.34,2,96.34,0
96.341,0,96.341,1
96.342,1,96.342,1
96.343,0,96.343,0
96.344,0,96.344,0
96.345,0,96.345,0
96.346,0,96.346,0
96.347,0,96.347,0
96.348,1,96.348,1
96.349,0,96.349,0
96.35,0,96.35,0
96.351,1,96.351,0
96.352,0,96.352,3
96.353,1,96.353,2
96.354,3,96.354,3
96.355,1,96.355,1
96.356,1,96.356,1
96.357,1,96.357,0
96.358,0,96.358,0
96.359,1,96.359,1
96.36,2,96.36,0
96.361,0,96.361,1
96.362,1,96.362,1
96.363,0,96.363,0
96.364,0,96.364,0
96.365,0,96.365,0
96.366,0,96.366,0
96.367,0,96.367,0
96.368,1,96.368,1
96.369,0,96.369,0
96.37,0,96.37,0
96.371,1,96.371,0
96.372,0,96.372,3
96.373,1,96.373,2
96.374,3,96.374,3
96.375,1,96.375,1
96.376,1,96.376,1
96.377,1,96.377,0
96.378,0,96.378,0
96.379,1,96.379,1
96.38,2,96.38,1
96.381,0,96.381,1
96.382,1,96.382,1
96.383,0,96.383,0
96.384,0,96.384,0
96.385,0,96.385,0
96.386,0,96.386,0
96.387,0,96.387,0
96.388,1,96.388,1
96.389,0,96.389,0
96.39,0,96.39,0
96.391,1,96.391,0
96.392,0,96.392,3
96.393,1,96.393,2
96.394,3,96.394,3
96.395,1,96.395,1
96.396,1,96.396,1
96.397,1,96.397,0
96.398,0,96.398,0
96.399,1,96.399,1
96.4,2,96.4,0
96.401,0,96.401,1
96.402,0,96.402,0
96.403,0,96.403,0
96.404,0,96.404,0
96.405,0,96.405,0
96.406,0,96.406,0
96.407,0,96.407,0
96.408,0,96.408,0
96.409,0,96.409,0
96.41,0,96.41,0
96.411,1,96.411,0
96.412,0,96.412,3
96.413,1,96.413,2
96.414,2,96.414,2
96.415,1,96.415,1
96.416,1,96.416,1
96.417,1,96.417,0
96.418,0,96.418,0
96.419,1,96.419,1
96.42,3,96.42,1
96.421,0,96.421,0
96.422,0,96.422,0
96.423,0,96.423,0
96.424,0,96.424,0
96.425,0,96.425,0
96.426,0,96.426,0
96.427,0,96.427,0
96.428,0,96.428,0
96.429,0,96.429,0
96.43,0,96.43,0
96.431,1,96.431,0
96.432,0,96.432,3
96.433,1,96.433,2
96.434,2,96.434,2
96.435,1,96.435,1
96.436,1,96.436,1
96.437,1,96.437,0
96.438,0,96.438,0
96.439,1,96.439,1
96.44,2,96.44,0
96.441,0,96.441,0
96.442,0,96.442,0
96.443,0,96.443,0
96.444,0,96.444,0
96.445,0,96.445,0
96.446,0,96.446,0
96.447,0,96.447,0
96.448,0,96.448,0
96.449,0,96.449,0
96.45,0,96.45,0
96.451,1,96.451,0
96.452,0,96.452,3
96.453,1,96.453,2
96.454,2,96.454,2
96.455,1,96.455,1
96.456,1,96.456,1
96.457,1,96.457,0
96.458,0,96.458,0
96.459,1,96.459,1
96.46,2,96.46,0
96.461,0,96.461,1
96.462,0,96.462,0
96.463,0,96.463,0
96.464,0,96.464,0
96.465,0,96.465,0
96.466,0,96.466,0
96.467,0,96.467,0
96.468,0,96.468,0
96.469,0,96.469,0
96.47,0,96.47,0
96.471,1,96.471,0
96.472,0,96.472,3
96.473,1,96.473,2
96.474,2,96.474,2
96.475,1,96.475,1
96.476,1,96.476,1
96.477,1,96.477,0
96.478,0,96.478,0
96.479,1,96.479,1
96.48,2,96.48,1
96.481,0,96.481,1
96.482,0,96.482,0
96.483,0,96.483,0
96.484,0,96.484,0
96.485,0,96.485,0
96.486,0,96.486,0
96.487,0,96.487,0
96.488,0,96.488,0
96.489,0,96.489,0
96.49,0,96.49,0
96.491,1,96.491,0
96.492,0,96.492,3
96.493,1,96.493,2
96.494,2,96.494,2
96.495,1,96.495,1
96.496,1,96.496,1
96.497,1,96.497,0
96.498,0,96.498,0
96.499,1,96.499,1
96.5,3,96.5,0
96.501,0,96.501,0
96.502,0,96.502,0
96.503,0,96.503,0
96.504,0,96.504,0
96.505,0,96.505,0
96.506,0,96.506,0
96.507,0,96.507,0
96.508,0,96.508,0
96.509,0,96.509,0
96.51,0,96.51,0
96.511,1,96.511,0
96.512,0,96.512,3
96.513,1,96.513,2
96.514,2,96.514,2
96.515,1,96.515,1
96.516,1,96.516,1
96.517,1,96.517,0
96.518,0,96.518,0
96.519,1,96.519,1
96.52,2,96.52,0
96.521,0,96.521,0
96.522,0,96.522,0
96.523,0,96.523,0
96.524,0,96.524,0
96.525,0,96.525,0
96.526,0,96.526,0
96.527,0,96.527,0
96.528,0,96.528,0
96.529,0,96.529,0
96.53,0,96.53,0
96.531,1,96.531,0
96.532,0,96.532,3
96.533,1,96.533,2
96.534,2,96.534,2
96.535,1,96.535,1
96.536,1,96.536,1
96.537,1,96.537,0
96.538,0,96.538,0
96.539,1,96.539,1
96.54,2,96.54,0
96.541,0,96.541,0
96.542,0,96.542,0
96.543,0,96.543,0
96.544,0,96.544,0
96.545,0,96.545,0
96.546,0,96.546,0
96.547,0,96.547,0
96.548,0,96.548,0
96.549,0,96.549,0
96.55,0,96.55,0
96.551,1,96.551,0
96.552,0,96.552,3
96.553,1,96.553,2
96.554,2,96.554,2
96.555,1,96.555,1
96.556,1,96.556,1
96.557,1,96.557,0
96.558,0,96.558,0
96.559,1,96.559,1
96.56,2,96.56,1
96.561,0,96.561,1
96.562,0,96.562,0
96.563,0,96.563,0
96.564,0,96.564,0
96.565,0,96.565,0
96.566,0,96.566,0
96.567,0,96.567,0
96.568,0,96.568,0
96.569,0,96.569,0
96.57,0,96.57,0
96.571,1,96.571,0
96.572,0,96.572,3
96.573,1,96.573,2
96.574,2,96.574,2
96.575,1,96.575,1
96.576,1,96.576,1
96.577,1,96.577,0
96.578,0,96.578,0
96.579,1,96.579,1
96.58,2,96.58,0
96.581,0,96.581,1
96.582,0,96.582,0
96.583,0,96.583,0
96.584,0,96.584,0
96.585,0,96.585,0
96.586,0,96.586,0
96.587,0,96.587,0
96.588,0,96.588,0
96.589,0,96.589,0
96.59,0,96.59,0
96.591,1,96.591,0
96.592,0,96.592,3
96.593,1,96.593,2
96.594,2,96.594,2
96.595,1,96.595,1
96.596,1,96.596,1
96.597,1,96.597,0
96.598,0,96.598,0
96.599,1,96.599,1
96.6,2,96.6,0
96.601,0,96.601,0
96.602,0,96.602,0
96.603,0,96.603,0
96.604,0,96.604,0
96.605,0,96.605,0
96.606,0,96.606,0
96.607,0,96.607,0
96.608,0,96.608,0
96.609,0,96.609,0
96.61,0,96.61,0
96.611,1,96.611,0
96.612,0,96.612,3
96.613,1,96.613,2
96.614,2,96.614,2
96.615,1,96.615,1
96.616,1,96.616,1
96.617,1,96.617,0
96.618,0,96.618,0
96.619,1,96.619,1
96.62,3,96.62,0
96.621,0,96.621,0
96.622,0,96.622,0
96.623,0,96.623,0
96.624,0,96.624,0
96.625,0,96.625,0
96.626,0,96.626,0
96.627,0,96.627,0
96.628,0,96.628,0
96.629,0,96.629,0
96.63,0,96.63,0
96.631,1,96.631,0
96.632,0,96.632,3
